question_category,number,question_type,question,answer,law_or_source,article_or_section
Civic Education,15,Open-ended,ပြည်ထောင်စု လွှတ်တော်ကို ဥပဒေဘယ်လို ပြဌါန်းသလဲ။,ပြည်သူ့လွှတ်တော်မှာ ဖြစ်စေ၊ အမျိုးသားလွှတ်တော်မှာ ဖြစ်စေ စတင်တင်သွင်းတဲ့ ဥပဒေကြမ်းကို လွှတ်တော်နှစ်ရပ်လုံးက အတည်ပြုရင်၊ အဆိုပါဥပဒေကြမ်းကို ပြည်ထောင်စု လွှတ်တော်က အတည်ပြုတယ်လို့ မှတ်ယူရပါမယ်။ သို့သော် ထိုလွှတ်တော်နှစ်ရပ်တွင်သဘောထားကွဲလွဲပါက ပြည်ထောင်စုလွှတ်တော်တွင် ဆွေးနွေးဆုံးဖြတ်ရပါမယ်။ ထို့နောက်မှသာ နိုင်ငံတော်သမ္မထံသို့ အတည်ပြုရန် တင်သွင်းရပါမယ်။ နိုင်ငံတော် သမ္မတမှ တင်သွင်းလာသော မူကြမ်းအား ၁၄ ရက်အတွင်းလက်မှတ်ရေးထိုးရမယ်။ ထိုသို့ သမ္မတမှလက်မှတ်ရေးထိုးထားသောမူကြမ်းအား မှတ်ချက်နှင့်တကွ ဥပဒေကဲ့သို့ထုတ်ပြန်ရန် ပြည်ထောင်စုလွှတ်တော်သို့ပြန်လည်ပေးပို့နိုင်ပါတယ်။ထိုသို့သဘောထားမှတ်ချက်နှင့်အတူမပေးပို့ပါကလည်း သတ်မှတ်သည့်ကာလ ၁၄ ရက်ကျော်လွန်လျှင် သမ္မတ၏လက်မှတ်ရေးထိုးချက်ရပြီးသကဲ့သို့ဥပဒေဖြစ်လာရမည်။ သို့သော် သက်မှတ်သည့်ကာလအတွင်း တွင် သမ္မတမှ ထိုဥပဒေမူကြမ်းအား သဘောထားမှတ်ချက်နှင့်အတူသတ်မှတ်သည့်ကာလအတွင်း ပြည်ထောင်စုလွှတ်တော်သို့ပေးပို့ပြီး၊ ပြည်ထောင်စုလွှတ်တော်မှ သမ္မတ၏သဘောထားမှတ်ချက်အား ဆွေးနွေးသုံးသပ်ပြီးနောက် နိုင်ငံတော်သမ္မတထံတင်သွင်းရမည်။ ထိုသို့ပြန်လည်တင်သွင်းပြီး ၇ ရက်အကြာတွင် သမ္မတမှလက်မှတ်မရေးထိုးသော်လည်း သမ္မတ၏လက်မှတ်ရေးထိုးချက်ရပြီးသကဲ့သို့ဥပဒေဖြစ်လာရမည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၄)၊ ပုဒ်မ ၉၅၊ ၁၀၅၊ ၁၀၆
Civic Education,16,Open-ended,သမ္မတနဲ့ ပြည်ထောင်စုအစိုးရ ဘယ်လိုကွာခြားလဲ။,ဖွဲ့စည်းပုံအခြေခံဥပဒေအရ နိုင်ငံတော်သမ္မတက ပြည်ထောင်စုအစိုးရနိုင်ငံတော်အုပ်ချုပ်ရေး၏ အကြီးအကဲ ဖြစ်ပါတယ်။ ပြည်ထောင်စုအစိုးရမှာတော့ နိုင်ငံတော်သမ္မတအပါ၀် ဒုသမ္မတများ၊ ပြည်ထောင်စ၀်ကြီးများနဲ့ ပြည်ထောင်စုရှေ့နေချုပ်တို့ ပ၀်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၅)၊ ပုဒ်မ ၁၉၉ နှင့် ၂၀၀
Civic Education,19,Yes/No,ပြည်ထောင်စုအစိုးရက ဥပဒေပြဌာန်းလို့ရသလား။,ပဏာမအားဖြင့် လွှတ်တော်သည် ဥပဒေပြဌါန်းနိုင်သည်၊ သို့သော်လည်း နိုင်ငံတော်သမ္မတသည် ပြည်ထောင်စုလွှတ်တော်အစည်းအဝေး ကျင်းပနေခြင်းမရှိချိန်တွင် ယာယီ ဥပဒေကဲ့သို့ အာဏာတည်သော အမိန့်ထုတ်ပြန်ပြီး၊ အရေးပေါ် အခြေအနေ ကြေညာနိုင်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၅) ပုဒ်မ ၂၁၂ နှင့် အခန်း (၁၁)၊ ပုဒ်မ ၄၁၀
Civic Education,21,Open-ended,ပြည်ထောင်စု၀်ကြီးမှာ ဘယ်လိုအရည်အချင်းတွေ ရှိဖို့ လိုသလဲ။,အသက် လေးဆယ်ပြည့်ပြီးသူ၊ အသက်ကန့်သတ်ချက်မှအပ ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်များ အတွက် သတ်မှတ်ထားသည့် အရည်အချင်းများနှင့် ပြည့်စုံသူ၊ ပြည်သူ့လွှတ်တော် ကိုယ်စားလှယ်များအဖြစ် ရွေးကောက်တင်မြှောက်ခံပိုင်ခွင့် မရှိစေသော ပြဌာန်းချက်များနှင့်လည်း ငြိစွန်းခြင်း မရှိသူ၊ နိုင်ငံတော်နှင့် နိုင်ငံသားများအပေါ် သစ္စာရှိသူ စတာတွေကို ဖွဲ့စည်းပုံ အခြေခံဥပဒေမှာ သတ်မှတ်ထားပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၅)၊ ပုဒ်မ ၂၃၂။ (က)
Civic Education,25,Open-ended,ရပ်ကွက်၊ ကျေးရွာအုပ်ချုပ်ရေးမှူးကို ဘယ်လိုခန့်သလဲ။,ရပ်ကွက် သို့မဟုတ် ကျေးရွာ အုပ်စုရဲ့ အုပ်ချုပ်ရေးကို ရပ်ရွာ ကြည်ညိုလေးစားပြီး၊ သိက္ခာသမာဓိရှိတဲ့ ပုဂိ္ဂိုလ်တဦးဦးကို ဥပဒေနဲ့အညီ ခန့်အပ်တ၀်ပေး ဆောင်ရွက်စေရပါမယ်။ ရပ်ကွက်၊ ကျေးရွာအုပ်ချုပ်ရေးမှူးရွေးချယ်ရာတွင် ရပ်မိ၊ ရပ်ဖ ၅ ဦးအား ရွေးချယ်ကာ ကြီးကြပ်ရေးအဖွဲ့အဖြစ်တာဝန်အပ်ပေးပြီး ရပ်ကွက်၊ ကျေးရွာအတွင်း ဆယ်အိမ်စုအဖွဲ့များအားဖွဲ့စည်းရမည်၊ ထိုဆယ်အိမ်စုတွင်နေထိုင်သူ အိမ်ထောင်ဦးစီးအသက် ၁၈နှစ်ပြည့်ပြီးသူ ဆယ်အိမ်စုကိုယ်စား လှယ်အားခန့်အပ်ကာ၊ ထိုဆယ်အိမ်စုကိုယ်စားလှယ်များမှ ရပ်ကွက်၊ ကျေးရွက်အုပ်ချုပ်ရေးမှူးအတွက် အမည်စာရင်းမြို့နယ်အုပ်ချုပ်ရေးမှူးထံတင်သွင်းပြီးနောက်၊ ရွေးချယ်အတည်ပြုတင်မြှောက်ပြီးနောက် မြို့နယ်အုပ်ချုပ်ရေးမှူးမှ သတ်မှတ်သည့်အရည်ချင်းကိုက်ညီမှုရှိ၊ မရှိစိစစ်ပြီးနောက် ခရိုင်အုပ်ချုပ်ရေးမှူးမှအတည်ပြုခန့်အပ်ရမည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ၊ ၂၀၁၂ ရပ်ကွက် သို့မဟုတ် ကျေးရွာအုပ်စု အုပ်ချုပ်ရေးဥပဒေ,အခန်း (၅)၊ ပုဒ်မ ၂၈၉
Civic Education,30,Open-ended,နိုင်ငံသား ဆိုတာ ဘာလဲ။,ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော်၏ တိုင်းရင်းသားမိဘနှစ်ပါးမှ မွေးဖွားသူ။ (၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ အတည်ပြုပြဌာန်းသည့်နေ့မှာ ဥပဒေအရ နိုင်ငံသားပြုပြီးသူများသည် ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော်ရဲ့ နိုင်ငံသားများ ဖြစ်ပါတယ်။ ,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၄၅
Civic Education,31,Open-ended,မြန်မာနိုင်ငံမှာနေထိုင်ရင် မြန်မာနိုင်ငံသားဖြစ်နိုင်ပါသလား။,မဖြစ်နိုင်ပါ။ မြန်မာနိုင်ငံမှာနေထိုင်ရင်း မြန်မာနိုင်ငံသားမဖြစ်နိုင်ပါ။ ၁၉၈၂ နိုင်ငံသား အက်ဥပဒေအရ နိုင်ငံသားဖြစ်မှုအရည်အချင်းအား ပြဌါန်းထားပါသည်။ နိုင်ငံသားဖြစ်ခြင်း၊ နိုင်ငံသားပြုခြင်းနဲ့ နိုင်ငံသားအဖြစ်မှရပ်စဲခြင်းတို့သည် ဥပဒေဖြင့် ပြဌာန်းသည့်အတိုင်း ဖြစ်ရပါမည်။ ,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ နှင့် ၁၉၈၂ နိုင်ငံသားအက်ဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၄၆
Civic Education,32,Yes/No,မြန်မာနိုင်ငံတွင် မည်သူမဆို တရားဥပဒေရှေ့မှောက်တွင် အခွင့်အရေးတန်းတူရရှိနိုင်ပါသလား။,နိုင်ငံတော်သည် မည်သူ့ကိုမဆို နိုင်ငံသားများပါသာမက ဥပဒေအရာမှာ တန်းတူညီမျှ အခွင့်အရေး ရရှိစေရပါမည်။ ထို့ပြင် ဥပဒေ၏ အကာအကွယ်ကိုလည်း တန်းတူညီမျှစွာ ရယူပိုင်ခွင့် ပေးရပါမည်။ ဖွဲ့စည်းပုံအခြေခံဥပဒေ၌ သတ်မှတ်ပြဌာန်းထားသော တန်းတူညီမျှအခွင့်အရေး၊ လွတ်လပ်မှုအခွင့်အရေး၊ တရားမျှတမှု အခွင့်အရေးများကို ခံစားခွင့်ရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၄၇
Civic Education,34,Yes/No,နိုင်ငံရေးသားတိုင်းမှာ တူညီသော အခွင့်အလမ်း ရှိသလား။,ပြည်သူ၀်ထမ်း တ၀်ထမ်းဆောင်မှု၊ အလုပ်လုပ်ကိုင်မှု၊ ကုန်သွယ်ရောင်၀်ဖောက်ကားမှု၊ စီးပွားရေးလုပ်ငန်း လုပ်ကိုင်မှု၊ အတတ်ပညာနဲ့ အသက်မွေ၀်းကျောင်းမှု၊၀ဇ္ဇာပညာ၊ သိပ္ပံပညာနဲ့ နည်းပညာရပ်မှာ ရှာဖွေ ဖော်ထုတ်မှု စတဲ့ လုပ်ငန်းများကို လုပ်ကိုင်ဆောင်ရွက်ရာမှာ တူညီသော အခွင့်အလမ်းများ ရရှိရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၄၉
Civic Education,35,Yes/No,ဖွဲ့စည်းပုံအခြေခံဥပဒေမှာ အမျိုးသမီးများရဲ့ အခွင့်အရေး ပါသလား။,ရှိပါသည်။ မည်သူမဆိုနိုင်ငံတွင်ရရှိသည့်အခွင့်အရေးများအားလုံးအား အမျိုးသမီးများနေဖြင့်ထိုအခွင့်အရေးများအားရရှိခံစားနိုင်ပါသည်။ ထို့နောက်အမျိုးသမီးများဟာ တူညီသော အလုပ်အတွက် အမျိုးသားများ ခံစားခွင့်ရှိတဲ့ အခွင့်အရေးနဲ့ လစာတို့ကို ခံစားခွင့်ရှိပါတယ်။ မိခင်များနဲ့ ကိုယ၀်ဆောင်အမျိုးသမီးများဟာလဲ ဥပဒေအရ သတ်မှတ်ထားတဲ့ သက်ဆိုင်ရာ အခွင့်အရေးများကို အညီအမျှ ခံစားခွင့် ရှိပါတယ်။ အမျိုးသမီးဖြစ်ခြင်းကို အကြောင်းပြုပြီး၊ ရာထူးရွေးချယ်ခန့်ထားခြင်းကို ခွဲခြားမှု မပြုရပါဘူး။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၅၀နှင့် ၃၅၁
Civic Education,36,Open-ended,နိုင်ငံသား အခွင့်အရေးဆိုတာ ဘာတွေလဲ။,လူတိုင်းတွင် မိမိရဲ့ယုံကြည်ချက်၊ ထင်မြင်ယူဆချက်များကို လွတ်လပ်စွာ ထုတ်ဖော်ပြောဆိုခွင့်၊ ရေးသား ဖြန့်၀ွင့်၊ လက်နက်မပါပဲ ငြိမ်းချမ်းစွာစု၀ခွင့်၊ စီတန်းလှည့်လည်ခွင့်အသင်းအဖွဲ့ (သို့မဟုတ်) အစည်းအရုံးများ ဖွဲ့စည်းဆောင်ရွက်ခွင့် တိုင်းရင်းသားလူမျိုး စာပေ၊ ယဉ်ကျေးမှု၊ ကိုးကွယ်သည့် ဘာသာသာသနာနှင့် ဓလေ့ထုံးတမ်းများကို လွတ်လပ်စွာ ဆောင်ရွက်ပိုင်ခွင့်  ဥပဒေရှေ့မှောက်တွင်တန်းတူညီမျှစွာအခွင့်အရေးရပိုင်ခွင့်၊ တူညီသောအခွင့်အလမ်း၊ နိုင်ငံသားဖြစ်တည်မှုဖြစ်သော လူမျိုးဇာတိအစရှိသည်တို့အပေါ်တွင် ခွဲခြားမှုမရှိသည့်အခွင့်အရေး၊ တူညီသောလစာခံစားခွင့်၊ ဥပဒေအရသတ်မှတ်ထားသော သက်ဆိုင်ရာအခွင့်အရေးများကို အညီအမျှခံစားခွင့်၊ ဥပဒေနှင့်အညီ မည်သည့်အရပ်ဒေသတွင်မဆို အခြေစိုက်နေထိုင်ခွင့်၊ စာပေ ယဉ်ကျေးမှု အနုပညာနှင့် ဓလေ့ထုံးတမ်းတို့ကိုလွတ်လပ်စွာ ပြုစုပျိုးထောင်ဆောင်ရွက်ပိုင်ခွင့်၊ ပညာသင်ကြားပိုင်ခွင့်၊ လွတ်လပ်စွာ သုတေသနပြုဖော်ထုတ်ဆောင်ရွက်ခွင့်၊ ကျန်းမာရေးစောင့်ရှောက်မှုခံယူခွင့်၊ ၊ ဥပဒေနှင့်အညီ လွတ်လပ်စွာ လုပ်ကိုင်ဆောင်ရွက်ခွင့်၊ စွပ်စွဲခံရသူသည် ဥပဒေနှင့်အညီခုခံချေပခွင့်၊ ပြည်တွင်း ပြည်တွင် နိုင်ငံတော်၏ ကာကွယ်စောင့်ရှောက်မှုကိုတောင်းယူခွင့် အစရှိသည့်အခွင့်အရေးများမှာ အခြားဥပဒေများအား ဆန့်ကျင်ခြင်းမရှိလျှင် အခွင့်အရေးရရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၅၄
Civic Education,39,Yes/No,နိုင်ငံသားတွေကို ကာကွယ်ဖို့ နိုင်ငံတော်မှာ တ၀်ရှိသလား။,တာဝန်ရှိပါသည်။ နိုင်ငံတော်သည် နိုင်ငံသားများ၏ဥပဒေအရပေးအပ်ထားသောအခွင့်အရေးများအားလုံးအား ရရှိနိုင်ရန်အတွက် တာဝန်ရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁) (၈)၊
Civic Education,45,Open-ended,နိုင်ငံသားတယောက်ရဲ့ တ၀်ဆိုတာ ဘာလဲ။,ဖွဲ့စည်းပုံအခြေခံဥပဒေပါ ပြဌာန်းချက်များကို လိုက်နာစောင့်ထိန်းခြင်း၊ ပြည်ထောင်စုသမ္မတမြန်မာနိုင်ငံတော်၏ လွတ်လပ်ရေး၊ အချုပ်အခြာအာဏာနဲ့ နယ်မြေတည်တံ့ခိုင်မြဲရေးကို ကာကွယ်စောင့်ရှောက်ခြင်း၊ ပြည်ထောင်စုနိုင်ငံတော် တိုးတက်ကောင်းမွန်စေရေးအတွက် ကူညီဆောင်ရွက်ခြင်း စသည့် တ၀်များ ရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၈)၊ ပုဒ်မ ၃၈၃ မှ ၃၉၀ထိ
Civic Education,46,Open-ended,ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ဘယ်လို ပြင်ဆင်ရမလဲ။,ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ပြင်ဆင်ရန် တင်သွင်းသော အဆိုကို ဥပဒေ မူကြမ်းအဖြစ်နဲ့ ပြည်ထောင်စု လွှတ်တော်ကို တင်သွင်းရပါမယ်။ ပြည်ထောင်စုလွှတ်တော်မှာရှိတဲ့ လွှတ်တော်ကိုယ်စားလှယ်စုစုပေါင်းရဲ့ ၂၀ရာခိုင်နှုန်းက တင်ပြမှ အဆိုပါ ပြင်ဆင်ချက် ဥပဒေမူကြမ်းကို ပြည်ထောင်စုလွှတ်တော်က လက်ခံဆွေးနွေးရပါမယ်။ ပုဒ်မ (၄၃၆) (က) တွင် ဖော်ပြထားသော ပြဌာန်းချက်များကို ပြင်ဆင်လိုရင် ပြည်ထောင်စုလွှတ်တော် ကိုယ်စားလှယ် အားလုံးရဲ့ ၇၅ ရာခိုင်နှုန်းကျော်က ပြင်ဆင်ရန် သဘောတူ လက်ခံပြီးနောက် ပြည်လုံးကျွတ်ဆန္ဒခံယူပွဲ ကျင်းပရမယ်။ ပြည်လုံးကျွတ်ဆန္ဒခံယူပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူ အားလုံးရဲ့ ထက၀်ကျော်ဆန္ဒမဲဖြင့်သာ ပြင်ဆင်ရပါမယ်။ ပုဒ်မခွဲ (က)မှာ ဖော်ပြထားတဲ့ ပြဌာန်းချက် များမှအပ အခြားပြဌာန်းချက်များကိုတော့ ပြည်ထောင်စုလွှတ်တော်ကိုယ်စားလှယ်အားလုံးရဲ့ ၇၅ ရာခိုင်နှုန်း ကျော် ထောက်ခံဆန္ဒမဲဖြင့် ပြင်ဆင်နိုင်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁၂)၊ ပုဒ်မ ၄၃၃ မှ ၄၃၆ ထိ
